python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-6
python-sphinxcontrib-devhelp 1.0.2-6
python-sphinxcontrib-htmlhelp 1.0.3-6
python-sphinxcontrib-jsmath 1.0.1-9
python-sphinxcontrib-qthelp 1.0.3-6
python-sphinxcontrib-serializinghtml 1.1.4-6
python-toml 0.10.2-3
python-urllib3 1.26.4-1
python-webencodings 0.5.1-6
python-yaml 5.4.1.1-1
python-yams 0.7.3-1
python2 2.7.18-3
python2-appdirs 1.4.4-3
python2-ordered-set 3.1.1-3
python2-packaging 20.9-1
python2-pyparsing 2.4.7-3
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-3
qbittorrent 4.3.3-1
qt5-base 5.15.2+kde+r172-2
qt5-svg 5.15.2+kde+r7-1
qt5-x11extras 5.15.2-1
rav1e 0.4.1-1
readline 8.1.0-2
reflector 2021.4-1
rest 0.8.1-3
rhash 1.4.1-1
rofi 1.6.1-1
rsync 3.2.3-3
rtkit 0.13-1
ruby 3.0.1-1
ruby-irb 1.3.5-1
ruby-reline 0.2.5-1
rubygems 3.2.15-1
run-parts 4.11.2-1
sane 1.0.32-3
sbc 1.5-2
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
shaderc 2020.5-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
smbclient 4.14.2-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spicetify-cli 1.2.1-1
spirv-tools 2020.7-1
spotify 1:1.1.55.498-2
sqlite 3.35.4-1
srt 1.4.2-1
starship 0.51.0-2
startup-notification 0.12-7
sudo 1.9.6.p1-1
suitesparse 5.9.0-1
svt-av1 0.8.6-2
sxhkd 0.6.2-1
sysfsutils 2.1.1-1
systemd 248-5
systemd-libs 248-5
systemd-sysvcompat 248-5
taglib 1.12-1
talloc 2.3.2-1
tar 1.34-1
tbb 2020.3-1
tdb 1.4.3-4
tevent 1:0.10.2-3
texinfo 6.7-3
thunar 4.16.6-1
timeshift 20.11.1+3+g08d0e59-2
tlp 1.3.1-2
tslib 1.22-1
twolame 0.4.0-2
tzdata 2021a-1
unibilium 2.1.0-2
unzip 6.0-14
usbutils 013-1
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
v4l-utils 1.20.0-1
vala 0.52.2-1
viber 13.3.1.22-1
vid.stab 1.1-3
